lineage_id,lineage_kind,scenario_or_handoff,canonical_requirement_ids,entrypoint,producer_path,producer_symbol,output_contract,durable_state_or_revision,consumer_path,consumer_symbol,input_contract,runtime_route,persistence_or_external_effect,verification_or_recovery_path,terminal_state,api_projection,frontend_projection,test_or_runtime_proof,semantic_authority_count,competing_authority,pre_remediation_wave2_status,pre_remediation_finding_ids,remediation_commit,final_status,notes
X1-PC-FINAL-001,HANDOFF,POST /runs must commit a durable START handoff and reach its registered workflow owner.,H-API-008,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/api/routes/runs.py,versioned run routes,typed API and composition output with identity/revision/currentness checks,command receipt and Domain facts; route owns no DB/adapter authority,src/google_work_agent/api/composition.py,build_production_runtime,current typed input accepted only through the production API and composition boundary,protocol validation -> injected Application handler -> Domain/UoW/workflow handoff -> versioned projection,command receipt and Domain facts; route owns no DB/adapter authority,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,snapshot/SSE/error/health contracts consumed by frontend,"tests/unit/api/test_app_factory.py — route dependency boundary, version validation, handler delegation, safe error projection, and composition identity;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,27872661;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
X1-PC-FINAL-002,HANDOFF,Handoff dispatch must preserve run-sequence head ordering and persisted execution-admission currentness.,C-PER-REQ-040,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/adapters/persistence/sqlite/unit_of_work.py,SqliteUnitOfWork,typed Persistence and UoW output with identity/revision/currentness checks,"Domain facts, command receipts, workflow handoffs, checkpoint bindings, forward migrations and verified backups",src/google_work_agent/api/composition.py,build_production_runtime,current typed input accepted only through the production Persistence and UoW boundary,Application Port -> one short SQLite UoW -> repositories -> commit -> post-commit handoff/trace,"Domain facts, command receipts, workflow handoffs, checkpoint bindings, forward migrations and verified backups",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,versioned Application projections; N/A where persistence is internal,"tests/integration/persistence/test_schema_constraints.py — transaction boundaries, FK/unique constraints, forward migration, restart durability, and no external I/O in write tx;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,7654b080;4684aa06;4e42dbdc;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
X1-PC-FINAL-003,HANDOFF,Retrieval execute_read must consume a registry-validated READ binding through ConnectorReadPort.,E-AGT-013,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,typed Retrieval output with identity/revision/currentness checks,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,current typed input accepted only through the production Retrieval boundary,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,context preview and evidence-backed answer/plan,"tests/unit/application/agents/retrieval/test_execute_read.py — binding/effect validation, bounded projection, source failure semantics, and typed result;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,f4d13af0;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
X1-PC-FINAL-004,HANDOFF,Retrieval must produce one current typed RetrievalResult revision for downstream analysis and planning.,E-AGT-019,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,typed Retrieval output with identity/revision/currentness checks,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,current typed input accepted only through the production Retrieval boundary,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,context preview and evidence-backed answer/plan,"tests/unit/application/agents/retrieval/test_execute_read.py — binding/effect validation, bounded projection, source failure semantics, and typed result;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,f4d13af0;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
X1-PC-FINAL-005,HANDOFF,Agent invocation must return only the typed owner result and declared workflow signal consumed by Supervisor.,E-AGT-048,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/adapters/langgraph/main/state.py,GraphState / WorkflowPhase,typed Main LangGraph runtime output with identity/revision/currentness checks,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,src/google_work_agent/adapters/langgraph/main/workflow.py,LangGraphWorkflowRuntime,current typed input accepted only through the production Main LangGraph runtime boundary,WorkflowExecutionPort -> one compiled Main graph/profile -> supervisor -> owner-local subgraphs -> checkpoint continuation,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,terminal commit/outcome projector -> API snapshot/SSE/frontend,"tests/architecture/langgraph/test_main_graph_state.py — single state/phase authority, profile parity, exact resume targets, and no peer-agent direct calls;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,7654b080;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
X1-PC-FINAL-006,HANDOFF,Confirmation must persist and validate an exact semantic-owner resume target before same-run continuation.,B-DOM-REQ-077,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/adapters/langgraph/main/state.py,GraphState / WorkflowPhase,typed Main LangGraph runtime output with identity/revision/currentness checks,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,src/google_work_agent/adapters/langgraph/main/workflow.py,LangGraphWorkflowRuntime,current typed input accepted only through the production Main LangGraph runtime boundary,WorkflowExecutionPort -> one compiled Main graph/profile -> supervisor -> owner-local subgraphs -> checkpoint continuation,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,terminal commit/outcome projector -> API snapshot/SSE/frontend,"tests/architecture/langgraph/test_main_graph_state.py — single state/phase authority, profile parity, exact resume targets, and no peer-agent direct calls;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,7654b080;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
X1-PC-FINAL-007,HANDOFF,Connector Write must remain impossible until BeginExecutionAttempt applied evidence is durable.,D-APP-101,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/execution_attempt/dispatch_connector_write.py,DispatchConnectorWrite,typed Execution attempt and external Write output with identity/revision/currentness checks,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,src/google_work_agent/adapters/langgraph/write_execution_driver.py,WriteExecutionDriver,current typed input accepted only through the production Execution attempt and external Write boundary,Claim -> BeginExecutionAttempt(applied=true commit) -> currentness reread -> ConnectorWritePort,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,execution summary -> verification/recovery -> snapshot/SSE,"tests/unit/application/use_cases/execution_attempt/test_execution_identity_safety.py — zero Write before durable begin, parent identity/currentness, certainty classification, and UNKNOWN_RESULT no-resend",1,NO,PASS,N/A — no substantive finding,4684aa06,PASS,X1 producer/consumer/output/input/currentness/bypass chain closed in the current runtime. Re-resolved at ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; no historical path/status was promoted to current truth.
X1-PC-FINAL-008,HANDOFF,Dispatch must reread current Attempt/Action/Approval/Plan/Run and begin receipt immediately before external I/O.,D-APP-103,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/execution_attempt/dispatch_connector_write.py,DispatchConnectorWrite,typed Execution attempt and external Write output with identity/revision/currentness checks,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,src/google_work_agent/adapters/langgraph/write_execution_driver.py,WriteExecutionDriver,current typed input accepted only through the production Execution attempt and external Write boundary,Claim -> BeginExecutionAttempt(applied=true commit) -> currentness reread -> ConnectorWritePort,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,execution summary -> verification/recovery -> snapshot/SSE,"tests/unit/application/use_cases/execution_attempt/test_execution_identity_safety.py — zero Write before durable begin, parent identity/currentness, certainty classification, and UNKNOWN_RESULT no-resend",1,NO,PASS,N/A — no substantive finding,4684aa06,PASS,X1 producer/consumer/output/input/currentness/bypass chain closed in the current runtime. Re-resolved at ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; no historical path/status was promoted to current truth.
X1-PC-FINAL-009,HANDOFF,UNKNOWN_RESULT must route through lookup/recovery without blind resend.,D-APP-105,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/recovery/resolve_recovery.py,ResolveRecoveryHandler,typed Recovery and corrective planning output with identity/revision/currentness checks,"Recovery proof, resolution, corrective Plan lineage, workflow handoff and checkpoint target",src/google_work_agent/api/routes/runs.py,resolve_recovery,current typed input accepted only through the production Recovery and corrective planning boundary,reason-specific durable Recovery -> safe option guard -> verification/terminal/corrective planning continuation,"Recovery proof, resolution, corrective Plan lineage, workflow handoff and checkpoint target",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,RecoveryCard options and authoritative Run refresh,"tests/unit/application/use_cases/recovery/test_resolve_recovery.py — irrecoverability proof, UNKNOWN_RESULT safety, corrective lineage, and exact continuation target;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,4684aa06;4e42dbdc;ba6ce026;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
X1-PC-FINAL-010,HANDOFF,Verification read must occur outside a DB transaction and its result be stored in a later short UoW.,C-PER-REQ-024,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/verification/verify_effect.py,VerifyEffectHandler,typed Verification output with identity/revision/currentness checks,Verification fact binds Action/Attempt/Approval identity and observed fields,src/google_work_agent/adapters/langgraph/write_execution_driver.py,verification phase,current typed input accepted only through the production Verification boundary,executed child fact -> external verification read -> normalized VERIFIED/MISMATCH -> short storage UoW,Verification fact binds Action/Attempt/Approval identity and observed fields,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,verification detail and recovery options in snapshot/SSE/frontend,"tests/unit/application/test_write_verification_projection.py — executed-child precondition, identity binding, normalized field comparison, and durable UI projection;tests/e2e/test_langgraph_real_production.py — relevant real-graph scenario exercises this handoff with durable/external-boundary assertions",1,NO,PASS,N/A — no substantive finding,4684aa06;27872661;4aed0a85;32295d97;09bf4501,PASS,Targeted handoff refresh at 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; production owner/caller/currentness and real compiled graph reachability re-resolved against Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e.
