evaluation_item_id,case_id,expected_answer_type,verification_expectation
EVAL-CORE-001,CASE-CORE-001,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-002,CASE-CORE-002,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-003,CASE-CORE-003,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-004,CASE-CORE-004,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-005,CASE-CORE-005,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-006,CASE-CORE-006,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-007,CASE-CORE-007,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-008,CASE-CORE-008,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-009,CASE-CORE-009,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-010,CASE-CORE-010,ANSWER_ONLY,NO_WRITE_VERIFICATION_ROW
EVAL-CORE-011,CASE-CORE-011,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-012,CASE-CORE-012,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-013,CASE-CORE-013,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-014,CASE-CORE-014,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-015,CASE-CORE-015,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-016,CASE-CORE-016,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-017,CASE-CORE-017,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-018,CASE-CORE-018,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-019,CASE-CORE-019,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
EVAL-CORE-020,CASE-CORE-020,PLAN_WAITING_APPROVAL,WRITE_GET_COMPARE_REQUIRED
