retrieval_query_id,case_id,fixture_snapshot_id,query
RQ-CORE-001,CASE-CORE-001,FIX-001,Apollo Summit 발표 자료 핵심 정리 처리에 필요한 근거를 찾는다.
RQ-CORE-002,CASE-CORE-002,FIX-002,Greenline Proposal 제안서 후속 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-003,CASE-CORE-003,FIX-003,Lattice Enablement 교육 세션 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-004,CASE-CORE-004,FIX-004,Helios Board 이사회 조정 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-005,CASE-CORE-005,FIX-005,Nimbus Onboarding 온보딩 요청 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-006,CASE-CORE-006,FIX-006,Redwood Security Review 보안 검토 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-007,CASE-CORE-007,FIX-007,Berlin Expansion 해외 일정 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-008,CASE-CORE-008,FIX-008,Recovery Runbook 복구 요청 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-009,CASE-CORE-009,FIX-009,Vendor Normalization 정규화 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-010,CASE-CORE-010,FIX-001,Apollo Summit 발표 자료 핵심 정리 처리에 필요한 근거를 찾는다.
RQ-CORE-011,CASE-CORE-011,FIX-002,Greenline Proposal 제안서 후속 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-012,CASE-CORE-012,FIX-003,Lattice Enablement 교육 세션 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-013,CASE-CORE-013,FIX-004,Helios Board 이사회 조정 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-014,CASE-CORE-014,FIX-005,Nimbus Onboarding 온보딩 요청 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-015,CASE-CORE-015,FIX-006,Redwood Security Review 보안 검토 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-016,CASE-CORE-016,FIX-007,Berlin Expansion 해외 일정 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-017,CASE-CORE-017,FIX-008,Recovery Runbook 복구 요청 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-018,CASE-CORE-018,FIX-009,Vendor Normalization 정규화 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-019,CASE-CORE-019,FIX-001,Apollo Summit 발표 자료 핵심 정리 처리에 필요한 근거를 찾는다.
RQ-CORE-020,CASE-CORE-020,FIX-002,Greenline Proposal 제안서 후속 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-021,CASE-CORE-021,FIX-003,Lattice Enablement 교육 세션 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-022,CASE-CORE-022,FIX-004,Helios Board 이사회 조정 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-023,CASE-CORE-023,FIX-005,Nimbus Onboarding 온보딩 요청 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-024,CASE-CORE-024,FIX-006,Redwood Security Review 보안 검토 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-025,CASE-CORE-025,FIX-007,Berlin Expansion 해외 일정 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-026,CASE-CORE-026,FIX-008,Recovery Runbook 복구 요청 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-027,CASE-CORE-027,FIX-009,Vendor Normalization 정규화 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-028,CASE-CORE-028,FIX-001,Apollo Summit 발표 자료 핵심 정리 처리에 필요한 근거를 찾는다.
RQ-CORE-029,CASE-CORE-029,FIX-002,Greenline Proposal 제안서 후속 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-030,CASE-CORE-030,FIX-003,Lattice Enablement 교육 세션 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-031,CASE-CORE-031,FIX-004,Helios Board 이사회 조정 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-032,CASE-CORE-032,FIX-005,Nimbus Onboarding 온보딩 요청 메일 검토 처리에 필요한 근거를 찾는다.
RQ-CORE-033,CASE-CORE-033,FIX-006,Redwood Security Review 보안 검토 메일 점검 처리에 필요한 근거를 찾는다.
RQ-CORE-034,CASE-CORE-034,FIX-007,Berlin Expansion 해외 일정 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-035,CASE-CORE-035,FIX-008,Recovery Runbook 복구 요청 메일 확인 처리에 필요한 근거를 찾는다.
RQ-CORE-036,CASE-CORE-036,FIX-009,Vendor Normalization 정규화 메일 확인 처리에 필요한 근거를 찾는다.
