requirement_id,lane,capability_area,canonical_source,canonical_locator,canonical_requirement,final_production_owner_path,final_production_owner_symbol,final_actual_caller_path,final_actual_caller_symbol,final_runtime_binding,final_persistence_or_effect,final_api_or_frontend_destination,final_test_path,final_test_target_or_assertion,pre_remediation_disposition,pre_remediation_finding_ids,remediation_commit,final_disposition,non_blocking_debt,notes
A-FUNC-001,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-001@41-51,FN-001 첫 실행 Wizard.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",FINDING,WF1-A-FIND-006;WF1-A-FIND-009,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-002,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-002@52-64,FN-002 Google 계정 연결.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-003,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-003@65-74,FN-003 Google 계정 연결 해제.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-004,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-004@75-82,FN-004 LLM Runtime 진단.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-005,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-005@83-91,FN-005 LLM 모드 선택.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx;tests/e2e/test_langgraph_real_production.py,"actual API consumers, terminal refresh, feature authority, and user-visible controls | test_answer_only_reaches_terminal_through_real_production_composition: three-profile runtime selection and terminal parity",FINDING,WF1-A-FIND-001,27872661;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501,PASS,"N/A — functional, safety, runtime, and proof chain closed",Targeted LangGraph E2E refresh at POST_E2E_FINAL_PRODUCT_SHA 09bf45013f0fb0572fce65de9bb7ef2f6e06ec99; Product source anchor 0ec4583efb9589cddaff4edfe5ede2bb899fd14e. Actual production composition/caller/durable fact/external-boundary proof re-resolved; no historical verdict promoted.
A-FUNC-006,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-006@92-101,FN-006 배포 프로필 선택.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-007,A,Security and local trust,docs/canonical/01-a-functional-definition.md,FN-007@102-108,FN-007 OAuth 배포 환경 관리.,src/google_work_agent/api/security/bootstrap_session.py,BootstrapSessionManager,src/google_work_agent/api/app.py,create_app,loopback host validation -> bootstrap exchange -> session/CSRF/origin/version enforcement,session/keyring/audit facts; secrets remain outside projections,versioned local API error and readiness responses,tests/unit/api/test_security.py,"bootstrap replay rejection, CSRF/origin enforcement, redaction, and loopback-only trust",UNCHECKED,N/A — no substantive finding,f4d13af0;ef5bd38a,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-008,A,Installed lifecycle,docs/canonical/01-a-functional-definition.md,FN-008@109-121,FN-008 Local Agent Service 시작.,launcher/entrypoint.py,main,launcher/start_service.py,start_service,verify installation -> single instance -> data directory -> service readiness -> browser/control lifecycle,"installed data directory, instance control, readiness, backup/restore and shutdown state",local browser UI and /health readiness,tests/unit/launcher/test_entrypoint_flow.py,"installed startup ordering, existing-instance reuse, failure propagation, and clean shutdown",UNCHECKED,N/A — no substantive finding,4e42dbdc;ef5bd38a,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-009,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-009@122-133,FN-009 Frontend·API 세션과 버전 확인.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
A-FUNC-010,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-010@134-146,FN-010 자연어 요청 입력.,frontend/src/app/App.tsx,App,frontend/src/app/main_shell.tsx,MainShell,startup bootstrap -> canonical API clients -> snapshot/SSE refresh -> feature-owned renderers,N/A — frontend is a projection; durable truth remains in Domain/Application persistence,installed browser UI,frontend/tests/app/main_shell.test.tsx,"actual API consumers, terminal refresh, feature authority, and user-visible controls",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0,PASS,"N/A — functional, safety, runtime, and proof chain closed",Re-resolved against FINAL_PRODUCT_SHA ef5bd38a4526b5e10f9c7d848cefbaed0ef43341; current owner/caller/test path existence checked; historical runtime locator/verdict not reused.
