target_agent,failure_reason_code,minimum_dev_items,minimum_holdout_items,status,notes
request_understanding,SCHEMA_INVALID_JSON,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
request_understanding,SCHEMA_REQUIRED_FIELD_MISSING,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
request_understanding,SCHEMA_INVALID_ENUM,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
request_understanding,SCHEMA_WRONG_TYPE,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
request_understanding,SCHEMA_UNSUPPORTED_FIELD,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
request_understanding,SCHEMA_VERSION_MISMATCH,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
request_understanding,INTENT_GOAL_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
request_understanding,INTENT_COMPLETION_CRITERIA_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
request_understanding,INTENT_CONSTRAINT_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
request_understanding,INTENT_ENTRY_MODE_WRONG,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
request_understanding,INTENT_AMBIGUITY_MISSED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
request_understanding,INTENT_OVER_CONFIRMATION,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
request_understanding,INTENT_UNSUPPORTED_SCOPE,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,SCHEMA_INVALID_JSON,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
acquisition,SCHEMA_REQUIRED_FIELD_MISSING,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
acquisition,SCHEMA_INVALID_ENUM,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
acquisition,SCHEMA_WRONG_TYPE,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
acquisition,SCHEMA_UNSUPPORTED_FIELD,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
acquisition,SCHEMA_VERSION_MISMATCH,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
acquisition,ACQ_REQUIRED_SOURCE_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,ACQ_FORBIDDEN_SOURCE_INCLUDED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,ACQ_NO_FETCH_MISCLASSIFIED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_USER_CONSTRAINT_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_TOO_BROAD,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_TOO_NARROW,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_REPEATED_WITHOUT_CHANGE,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_SCOPE_EXPANSION_REQUIRES_CONFIRMATION,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_LOW_CONFIDENCE_RESULTS,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_NO_RESULTS,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_BUDGET_EXHAUSTED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_DETAIL_FETCH_FAILED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_AUTH_REQUIRED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_RATE_LIMITED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
acquisition,QUERY_PROVIDER_FAILED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
context_retriever,SCHEMA_INVALID_JSON,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
context_retriever,SCHEMA_REQUIRED_FIELD_MISSING,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
context_retriever,SCHEMA_INVALID_ENUM,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
context_retriever,SCHEMA_WRONG_TYPE,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
context_retriever,SCHEMA_UNSUPPORTED_FIELD,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
context_retriever,SCHEMA_VERSION_MISMATCH,3,1,COMPLETE,"Schema failure applies to every Agent. actual DEV=3, HOLDOUT=1"
context_retriever,CTX_REQUIRED_EVIDENCE_MISSING,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
context_retriever,CTX_HARD_NEGATIVE_SELECTED,3,1,COMPLETE,"actual DEV=3, HOLDOUT=1"
